32 fanta litr 321 16:45 21.12.2020 345
232 idn kilo 123 17:35 12.11.2020 1832
4134 ips pieces 780 13:27 29.12.2020 3450
12312 Sprorts_eq litr 3123 23 12 31 12 2020 3500
123 Sprirt litr 24 23 56 12 12 2020 123
4234 Spruh litr 45 12 35 1 1 2021 324
31 hiwd lits 23 23 56 17 1 2021 234
31234 Gun pieces 12 23 54 12 12 2020 3450
12312 Machine pieces 31 24 45 26 1 2021 3245
1231 Huge pieces 12 23 32 12 12 2020 3242
231 Vodka litr 1231 12 12 27 1 2021 1312
4224 Vodoc litr 142 23 10 26 1 2021 1284
1231 Voloc_gor kilo 12 12 52 23 1 2021 1234
