id0 rhubarb pieces 44 4 29 17 7 2019 3005
id1 anchovy pieces 55 1 27 22 12 2016 1789
id2 grapefruit kilo 101 12 2 14 5 2013 366
id3 tuna pieces 105 23 6 16 7 2020 2857
id4 herring litr 45 6 23 12 3 2014 618
id5 anchovy kilo 21 5 28 12 9 2013 1898
id6 artichoke litr 33 21 49 23 5 2016 1684
id7 strawberry kilo 16 16 2 1 5 2017 3299
id8 pilchard kilo 80 14 6 22 10 2019 2574
id9 coconut kilo 64 12 20 11 9 2012 2351id10 fig kilo 36 19 17 7 3 2013 2423
id11 rhubarb kilo 25 7 18 25 7 2018 2506
id12 sardine kilo 31 17 44 5 7 2020 2820
id13 orange kilo 22 10 30 6 1 2016 810
id14 turkey_veal litr 41 4 50 3 10 2015 362
id15 pate kilo 101 7 57 2 12 2014 230
id16 ham pieces 19 14 41 25 3 2017 3549
id17 pate kilo 78 12 11 3 12 2011 3108
id18 fig pieces 58 3 55 10 3 2011 3589
id19 tuna pieces 30 12 21 21 4 2019 527
id20 beef kilo 63 7 18 23 1 2019 1072
id21 herring pieces 103 0 43 28 10 2011 3366
id22 pork litr 19 8 35 8 9 2020 2915
id23 tuna litr 13 8 28 21 6 2020 1843
id24 turkey_veal litr 103 15 43 20 11 2014 746
id25 bacon kilo 28 12 56 15 6 2020 292
id26 mackerel litr 82 6 58 1 3 2020 1135
id27 apricot pieces 101 15 28 5 4 2013 2834
id28 melon kilo 38 14 22 15 12 2014 2461
id29 strawberry kilo 26 17 18 19 4 2012 2448id30 apricot kilo 102 5 35 17 9 2011 497
id31 mackerel pieces 98 9 9 24 8 2013 432
id32 chicken litr 98 10 57 14 5 2013 918
id33 sole pieces 99 8 9 17 1 2016 402
id34 pork_pie litr 51 8 25 1 11 2014 2535
id35 cooked_meat litr 106 7 49 10 2 2017 2796
id36 pork pieces 107 16 26 6 9 2013 2302
id37 sole kilo 11 20 31 19 12 2014 398
id38 cod litr 22 8 32 2 6 2017 913
id39 asparagus kilo 92 1 4 13 3 2020 2361
id40 turkey_veal pieces 83 2 44 16 1 2020 3649
id41 anchovy kilo 20 17 9 27 10 2015 614
id42 liver pieces 97 17 18 28 3 2016 2520
id43 peach pieces 34 6 14 13 12 2014 662
id44 herring litr 28 17 13 15 12 2019 3588
id45 ham kilo 90 5 7 15 8 2018 2825
id46 bananas litr 33 20 41 14 8 2013 450
id47 sardine kilo 41 20 22 3 3 2015 1198
id48 herring pieces 23 14 50 23 8 2014 2656
id49 blackcurrant pieces 77 13 10 1 3 2016 1118
id50 ubergine litr 86 22 38 11 8 2017 1427
id51 orange litr 94 10 24 8 5 2011 1032
id52 redcurrant kilo 20 5 10 16 1 2018 1890
id53 banana kilo 19 10 46 26 8 2018 870
id54 cod litr 39 8 43 17 3 2013 323
id55 tuna pieces 71 19 5 5 5 2013 1414
id56 pilchard litr 21 3 51 12 10 2011 2382
id57 anchovy pieces 73 20 31 15 6 2011 658
id58 asparagus litr 75 23 17 25 7 2020 2503
id59 redcurrant litr 34 21 8 2 8 2012 2344
id60 bacon kilo 103 0 25 17 8 2015 2682
id61 apple kilo 60 7 25 5 9 2017 2655
id62 kidneys litr 47 15 49 18 9 2013 2209
id63 melon kilo 106 17 41 8 10 2020 1314
id64 blackberry litr 106 23 53 23 9 2015 3403
id65 salmon litr 79 20 23 4 12 2012 1482
id66 herring kilo 85 2 3 23 7 2012 2235
id67 turkey_veal kilo 35 5 50 3 3 2016 924
id68 lime litr 89 21 13 23 6 2015 2305
id69 pork kilo 15 2 48 6 1 2014 3037id70 trout kilo 52 14 11 22 1 2019 1952
id71 coconut kilo 83 8 13 8 9 2019 810
id72 artichoke litr 22 23 29 4 1 2019 1277
id73 pate kilo 99 22 25 6 7 2012 2783
id74 fig pieces 45 23 32 18 5 2012 1095
id75 mackerel kilo 18 12 57 22 1 2012 768
id76 herring kilo 39 16 33 27 10 2018 3160
id77 bananas pieces 102 0 21 13 4 2011 2471
id78 lamb litr 85 18 18 23 12 2018 1745
id79 coconut pieces 73 18 23 23 8 2020 1185
id80 anchovy kilo 29 9 31 13 7 2013 950
id81 ham litr 49 15 22 15 4 2015 3495
id82 mango pieces 23 11 5 13 3 2019 1969
id83 cherry pieces 95 17 44 10 1 2016 1551
id84 asparagus kilo 11 3 12 1 9 2018 1162
id85 cooked_meat kilo 13 23 47 9 6 2016 2314
id86 kiwi kilo 57 0 3 10 6 2014 1798
id87 beef litr 52 8 20 26 7 2015 382
id88 haddock kilo 59 3 10 1 5 2018 1285
id89 coconut pieces 36 17 18 26 10 2015 2144
id90 cooked_meat pieces 67 22 24 4 3 2017 1454
id91 gooseberry kilo 11 13 16 21 12 2015 2836
id92 pear kilo 52 20 48 13 3 2017 2216
id93 mince litr 15 10 52 28 10 2016 2432
id94 pineapple pieces 24 18 36 17 9 2019 3427
id95 pear kilo 41 14 21 10 8 2018 935
id96 pate kilo 72 10 33 22 9 2013 404
id97 chicken kilo 64 7 14 12 1 2019 971
